City,State,Population,"Violent
 crime","Murder and
 nonnegligent
 manslaughter",Rape,Robbery,"Aggravated
 assault","Violent Crime Rate Per 100,000","Murder Rate per 100,000 people",Rape Rate,Robbery Rate,Aggravated Assault Rate
New York,New York,8473938,50564,333,2190,16581,31460,596.7001411,3.929695969,25.84394646,195.6705371,371.2559615
Los Angeles,California,3906772,19171,260,1126,7949,9836,490.7120252,6.655110664,28.82174849,203.4672103,251.7679557
Chicago,Illinois,2724121,24089,411,1343,9804,12531,884.2852428,15.08743554,49.30030641,359.8959077,460.0015932
Houston,Texas,2219933,22008,242,812,10186,10768,991.3812714,10.9012299,36.5776805,458.8426768,485.0596842
Philadelphia,Pennsylvania,1559062,15925,248,1207,6970,7500,1021.447511,15.90700049,77.41834513,447.0636832,481.0584826
Las Vegas,Nevada,1530899,12876,122,780,4885,7089,841.0744275,7.969173669,50.9504546,319.0935522,463.061247
Phoenix,Arizona,1529852,8749,114,1006,2952,4677,571.885385,7.45170121,65.75799489,192.9598419,305.715847
San Antonio,Texas,1428465,7704,103,1077,1777,4747,539.3201794,7.210537185,75.39561697,124.3992677,332.3147574
San Diego,California,1368690,5214,32,371,1318,3493,380.9482059,2.338002031,27.10621105,96.29645866,255.2075342
Dallas,Texas,1272396,8457,116,781,3856,3704,664.6515707,9.11665865,61.38026212,303.0503082,291.1043417
